date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:56:38	7135/7135	---M--	200	added ('OK')	image/jpeg	etag:%221bdf-61255b4de7e26%22	https://www.residentevil.com/village/assets/images/character_btn-houndwolf.jpg	E:/Httracks/FYP/www.residentevil.com/village/assets/images/character_btn-houndwolf.jpg	(from https://www.residentevil.com/village/en-asia/)
02:56:40	114401/114401	---M--	200	added ('OK')	image/jpeg	etag:%221bee1-61255b4de91ae%22	https://www.residentevil.com/village/assets/images/character_img-ethan.jpg	E:/Httracks/FYP/www.residentevil.com/village/assets/images/character_img-ethan.jpg	(from https://www.residentevil.com/village/en-asia/)
02:56:40	206733/206733	---M--	200	added ('OK')	image/jpeg	etag:%223278d-61255b4de85f6%22	https://www.residentevil.com/village/assets/images/character_img-chris.jpg	E:/Httracks/FYP/www.residentevil.com/village/assets/images/character_img-chris.jpg	(from https://www.residentevil.com/village/en-asia/)
02:56:41	120080/120080	---M--	200	added ('OK')	image/jpeg	etag:%221d510-61255b4dea536%22	https://www.residentevil.com/village/assets/images/character_img-rosemary.jpg	E:/Httracks/FYP/www.residentevil.com/village/assets/images/character_img-rosemary.jpg	(from https://www.residentevil.com/village/en-asia/)
02:56:41	114602/114602	---M--	200	added ('OK')	image/jpeg	etag:%221bfaa-61255b4de9d66%22	https://www.residentevil.com/village/assets/images/character_img-mia.jpg	E:/Httracks/FYP/www.residentevil.com/village/assets/images/character_img-mia.jpg	(from https://www.residentevil.com/village/en-asia/)
02:56:42	113693/113693	---M--	200	added ('OK')	image/jpeg	etag:%221bc1d-61255b4de89de%22	https://www.residentevil.com/village/assets/images/character_img-dimitrescu.jpg	E:/Httracks/FYP/www.residentevil.com/village/assets/images/character_img-dimitrescu.jpg	(from https://www.residentevil.com/village/en-asia/)
02:56:42	122190/122190	---M--	200	added ('OK')	image/jpeg	etag:%221dd4e-61255b4de91ae%22	https://www.residentevil.com/village/assets/images/character_img-duke.jpg	E:/Httracks/FYP/www.residentevil.com/village/assets/images/character_img-duke.jpg	(from https://www.residentevil.com/village/en-asia/)
02:56:43	168562/168562	---M--	200	added ('OK')	image/jpeg	etag:%2229272-61255b4dea14e%22	https://www.residentevil.com/village/assets/images/character_img-miranda.jpg	E:/Httracks/FYP/www.residentevil.com/village/assets/images/character_img-miranda.jpg	(from https://www.residentevil.com/village/en-asia/)
02:56:44	148222/148222	---M--	200	added ('OK')	image/jpeg	etag:%22242fe-61255b4de8dc6%22	https://www.residentevil.com/village/assets/images/character_img-dona.jpg	E:/Httracks/FYP/www.residentevil.com/village/assets/images/character_img-dona.jpg	(from https://www.residentevil.com/village/en-asia/)
02:56:45	184499/184499	---M--	200	added ('OK')	image/jpeg	etag:%222d0b3-61255b4de997e%22	https://www.residentevil.com/village/assets/images/character_img-houndwolf.jpg	E:/Httracks/FYP/www.residentevil.com/village/assets/images/character_img-houndwolf.jpg	(from https://www.residentevil.com/village/en-asia/)
02:56:45	109894/109894	---M--	200	added ('OK')	image/jpeg	etag:%221ad46-61255b4e000e0%22	https://www.residentevil.com/village/assets/images/locations_img03.jpg	E:/Httracks/FYP/www.residentevil.com/village/assets/images/locations_img03.jpg	(from https://www.residentevil.com/village/en-asia/)
